ID,WORD,VOCALIZED,WORD_TYPE,PLURAL,PLURAL_VOCALIZED
2279,أرت ,أرت ,اسم, رث, رث
73,أرثة ,أرثة ,اسم, أرث, أرث
2317,أرجل ,أرجل ,اسم, رجل, رجل
2301,أرجوزة ,أرجوزة ,اسم, أراجيز, أراجيز
2335,أرجية ,أرجية ,اسم, أراجي, أراجي
2358,أرخية ,أرخية ,اسم, أراخي, أراخي
2372,أردع ,أردع ,اسم, ردع, ردع
2380,أردم ,أردم ,اسم, أردمون, أردمون
2393,أرذل ,أرذل ,اسم, أراذل, أراذل
2424,أرسح ,أرسح ,اسم, رسح, رسح
2426,أرسوسة ,أرسوسة ,اسم, أراسيس, أراسيس
76,أرش ,أرش ,اسم, أروش, أروش
2453,أرشم ,أرشم ,اسم, رشم, رشم
2468,أرصوصة ,أرصوصة ,اسم, أراصيص, أراصيص
78,أرض ,أرض ,اسم, أرضون, أرضون
2482,أرض ,أرض ,اسم, رض, رض
79,أرضة ,أرضة ,اسم, أرض, أرض
4315,أرضين ,أرضين ,اسم, عواثير, عواثير
2502,أرعب ,أرعب ,اسم, رعب, رعب
2530,أرعل ,أرعل ,اسم, رعل, رعل
2536,أرعن ,أرعن ,اسم, رعن, رعن
2514,أرعوثة ,أرعوثة ,اسم, أراعيث, أراعيث
2528,أرعوفة ,أرعوفة ,اسم, أراعيف, أراعيف
80,أرفة ,أرفة ,اسم, أرف, أرف
2611,أرقط ,أرقط ,اسم, رقط, رقط
2615,أرقع ,أرقع ,اسم, رقع, رقع
2629,أرقم ,أرقم ,اسم, أراقم, أراقم
2673,أرمد ,أرمد ,اسم, رمد, رمد
2684,أرمل ,أرمل ,اسم, أرامل, أرامل
2685,أرمل ,أرمل ,اسم, رمل, رمل
85,أرنبة ,أرنبة ,اسم, أرانب, أرانب
84,أرنة ,أرنة ,اسم, أراني, أراني
2727,أروع ,أروع ,اسم, روع, روع
2728,أروق ,أروق ,اسم, روق, روق
88,أروية ,أروية ,اسم, أراوي, أراوي
2735,أروية ,أروية ,اسم, أراوي, أراوي
74,أريجة ,أريجة ,اسم, أرائج, أرائج
81,أريكة ,أريكة ,اسم, أريك, أريك
90,أزج ,أزج ,اسم, آزج, آزج
2786,أزعر ,أزعر ,اسم, زعر, زعر
2830,أزمل ,أزمل ,اسم, أزامل, أزامل
2831,أزملة ,أزملة ,اسم, أزامل, أزامل
2856,أزهر ,أزهر ,اسم, زهر, زهر
105,أس ,أس ,اسم, إساس, إساس
2927,أسبل ,أسبل ,اسم, سبل, سبل
2916,أسبوع ,أسبوع ,اسم, أسابيع, أسابيع
2896,أسبوية ,أسبوية ,اسم, أسابيب, أسابيب
99,أستاذ ,أستاذ ,اسم, أساتذة, أساتذة
2947,أسجر ,أسجر ,اسم, سجر, سجر
2951,أسجوعة ,أسجوعة ,اسم, أساجيع, أساجيع
2967,أسحت ,أسحت ,اسم, سحت, سحت
2994,أسحية ,أسحية ,اسم, أساحي, أساحي
2999,أسخم ,أسخم ,اسم, سخم, سخم
100,أسد ,أسد ,اسم, آساد, آساد
103,أسرة ,أسرة ,اسم, أسر, أسر
3056,أسروع ,أسروع ,اسم, أساريع, أساريع
3076,أسعر ,أسعر ,اسم, سعر, سعر
3115,أسفل ,أسفل ,اسم, أسافل, أسافل
3143,أسقع ,أسقع ,اسم, أساقع, أساقع
3144,أسقف ,أسقف ,اسم, أساقفة, أساقفة
3188,أسلت ,أسلت ,اسم, سلت, سلت
3197,أسلخ ,أسلخ ,اسم, سلخ, سلخ
3210,أسلع ,أسلع ,اسم, سلع, سلع
3182,أسلوب ,أسلوب ,اسم, أساليب, أساليب
3217,أسلوفة ,أسلوفة ,اسم, أساليف, أساليف
3263,أسمر ,أسمر ,اسم, سمر, سمر
3318,أسنع ,أسنع ,اسم, سنع, سنع
3360,أسود ,أسود ,اسم, سود, سود
3361,أسود ,أسود ,اسم, أساود, أساود
104,أسير ,أسير ,اسم, أسراء, أسراء
107,أسيف ,أسيف ,اسم, أسفاء, أسفاء
108,أسينة ,أسينة ,اسم, آسن, آسن
3420,أشأم ,أشأم ,اسم, أشائم, أشائم
3542,أشعر ,أشعر ,اسم, شعر, شعر
3560,أشغولة ,أشغولة ,اسم, أشاغيل, أشاغيل
3571,أشفى ,أشفى ,اسم, شفو, شفو
3575,أشقح ,أشقح ,اسم, شقح, شقح
3619,أشمط ,أشمط ,اسم, شمط, شمط
114,أشنة ,أشنة ,اسم, أشن, أشن
3632,أشنج ,أشنج ,اسم, شنج, شنج
3660,أشوص ,أشوص ,اسم, شوص, شوص
3677,أشوه ,أشوه ,اسم, شوه, شوه
3684,أشيب ,أشيب ,اسم, شيب, شيب
3709,أصبوع ,أصبوع ,اسم, أصابيع, أصابيع
115,أصدة ,أصدة ,اسم, أصد, أصد
3770,أصغر ,أصغر ,اسم, أصاغر, أصاغر
3771,أصغر ,أصغر ,اسم, صغر, صغر
5058,أصفر ,أصفر ,اسم, فواقع, فواقع
3799,أصك ,أصك ,اسم, صك, صك
3814,أصلد ,أصلد ,اسم, صلد, صلد
3827,أصلف ,أصلف ,اسم, أصالف, أصالف
3834,أصلم ,أصلم ,اسم, صلم, صلم
3855,أصم ,أصم ,اسم, صم, صم
3851,أصمع ,أصمع ,اسم, صمع, صمع
3879,أصهب ,أصهب ,اسم, صهب, صهب
3904,أصيد ,أصيد ,اسم, صيد, صيد
117,أصيدة ,أصيدة ,اسم, أصد, أصد
120,أصير ,أصير ,اسم, أصر, أصر
122,أصيص ,أصيص ,اسم, أصائص, أصائص
123,أصيل ,أصيل ,اسم, أصل, أصل
125,أضاة ,أضاة ,اسم, أضوات, أضوات
3936,أضجع ,أضجع ,اسم, ضجع, ضجع
3942,أضحاة ,أضحاة ,اسم, أضحى, أضحى
3938,أضحوكة ,أضحوكة ,اسم, أضاحيك, أضاحيك
3943,أضحية ,أضحية ,اسم, أضاحي, أضاحي
3947,أضخومة ,أضخومة ,اسم, أضاخيم, أضاخيم
3995,أضلع ,أضلع ,اسم, ضلع, ضلع
3999,أضلولة ,أضلولة ,اسم, أضاليل, أضاليل
128,أطرة ,أطرة ,اسم, أطر, أطر
4087,أطرش ,أطرش ,اسم, طرش, طرش
4072,أطروحة ,أطروحة ,اسم, أطاريح, أطاريح
4090,أطروفة ,أطروفة ,اسم, أطاريف, أطاريف
4148,أطلس ,أطلس ,اسم, طلس, طلس
131,أطم ,أطم ,اسم, آطام, آطام
132,أطوم ,أطوم ,اسم, أطم, أطم
4236,أطيب ,أطيب ,اسم, أطايب, أطايب
4237,أطيب ,أطيب ,اسم, طوبيات, طوبيات
4258,أظفور ,أظفور ,اسم, أظافير, أظافير
4262,أظل ,أظل ,اسم, ظل, ظل
4275,أظمى ,أظمى ,اسم, ظمى, ظمى
4301,أعتوبة ,أعتوبة ,اسم, أعاتيب, أعاتيب
4320,أعثى ,أعثى ,اسم, عثو, عثو
4322,أعجوبة ,أعجوبة ,اسم, أعاجيب, أعاجيب
4419,أعزل ,أعزل ,اسم, عزل, عزل
4463,أعضب ,أعضب ,اسم, عضب, عضب
4656,أعظم ,أعظم ,اسم, عواهل, عواهل
4526,أعقف ,أعقف ,اسم, عقف, عقف
4572,أعلومة ,أعلومة ,اسم, أعاليم, أعاليم
4668,أعور ,أعور ,اسم, عور, عور
4669,أعور ,أعور ,اسم, أعاور, أعاور
4701,أعيس ,أعيس ,اسم, عيس, عيس
4716,أغبر ,أغبر ,اسم, غبر, غبر
4726,أغبى ,أغبى ,اسم, غبي, غبي
4728,أغثر ,أغثر ,اسم, غثر, غثر
4757,أغر ,أغر ,اسم, غر, غر
4754,أغرودة ,أغرودة ,اسم, أغاريد, أغاريد
4822,أغلوج ,أغلوج ,اسم, أغاليج, أغاليج
4824,أغلوطة ,أغلوطة ,اسم, أغاليط, أغاليط
4863,أغنوجة ,أغنوجة ,اسم, أغانيج, أغانيج
4868,أغنية ,أغنية ,اسم, أغان, أغان
4869,أغنية ,أغنية ,اسم, أغاني, أغاني
4885,أغوية ,أغوية ,اسم, أغاوي, أغاوي
4929,أفحوص ,أفحوص ,اسم, أفاحيص, أفاحيص
4989,أفرع ,أفرع ,اسم, فرع, فرع
5046,أفعوان ,أفعوان ,اسم, أفاع, أفاع
5042,أفعولة ,أفعولة ,اسم, أفاعيل, أفاعيل
5045,أفعى ,أفعى ,اسم, أفاع, أفاع
136,أفق ,أفق ,اسم, آفاق, آفاق
5066,أفك ,أفك ,اسم, فك, فك
5067,أفك ,أفك ,اسم, فك, فك
138,أفكة ,أفكة ,اسم, أفائك, أفائك
5071,أفكوهة ,أفكوهة ,اسم, أفاكيه, أفاكيه
5103,أفنون ,أفنون ,اسم, أفانين, أفانين
137,أفيق ,أفيق ,اسم, أفق, أفق
139,أفيل ,أفيل ,اسم, إفال, إفال
140,أقة ,أقة ,اسم, أقق, أقق
5174,أقتم ,أقتم ,اسم, قتم, قتم
5188,أقحوان ,أقحوان ,اسم, أقاحي, أقاحي
5203,أقذ ,أقذ ,اسم, قذ, قذ
5255,أقرع ,أقرع ,اسم, أقارع, أقارع
5289,أقزل ,أقزل ,اسم, أقازل, أقازل
5300,أقسومة ,أقسومة ,اسم, أقاسيم, أقاسيم
5334,أقصوصة ,أقصوصة ,اسم, أقاصيص, أقاصيص
5346,أقصى ,أقصى ,اسم, أقاص, أقاص
5365,أقطع ,أقطع ,اسم, قطع, قطع
5399,أقفس ,أقفس ,اسم, قفس, قفس
5412,أقلح ,أقلح ,اسم, قلح, قلح
5432,أقلية ,أقلية ,اسم, أقليات, أقليات
5447,أقمر ,أقمر ,اسم, قمر, قمر
5493,أقنوم ,أقنوم ,اسم, أقانيم, أقانيم
142,أكار ,أكار ,اسم, أكرة, أكرة
5540,أكبر ,أكبر ,اسم, الأكابر, الأكابر
5581,أكذوبة ,أكذوبة ,اسم, أكاذيب, أكاذيب
5626,أكسوم ,أكسوم ,اسم, أكاسم, أكاسم
144,أكل ,أكل ,اسم, آكال, آكال
149,أكمة ,أكمة ,اسم, أكم, أكم
5688,أكنع ,أكنع ,اسم, كنع, كنع
5713,أكول ,أكول ,اسم, أكاول, أكاول
145,أكولة ,أكولة ,اسم, أكائل, أكائل
166,ألة ,ألة ,اسم, أل, أل
5798,ألد ,ألد ,اسم, لدا, لدا
5826,ألعوبة ,ألعوبة ,اسم, ألاعيب, ألاعيب
5843,ألغوزة ,ألغوزة ,اسم, ألاغيز, ألاغيز
154,ألف ,ألف ,اسم, آلاف, آلاف
156,ألف ,ألف ,اسم, آلاف, آلاف
5877,ألقية ,ألقية ,اسم, الألاقي, الألاقي
168,ألم ,ألم ,اسم, آلام, آلام
171,ألو ,ألو ,اسم, آلاء, آلاء
5907,ألود ,ألود ,اسم, ألواد, ألواد
157,ألوف ,ألوف ,اسم, ألف, ألف
158,ألوف ,ألوف ,اسم, ألائف, ألائف
162,ألوكة ,ألوكة ,اسم, ألائك, ألائك
173,ألية ,ألية ,اسم, ألايا, ألايا
174,ألية ,ألية ,اسم, ألايا, ألايا
5918,أليث ,أليث ,اسم, ليث, ليث
5921,أليس ,أليس ,اسم, ليس, ليس
5925,ألين ,ألين ,اسم, ألاين, ألاين
191,أم ,أم ,اسم, أمات, أمات
192,أمة ,أمة ,اسم, أمم, أمم
195,أمة ,أمة ,اسم, إماء, إماء
176,أمت ,أمت ,اسم, إمات, إمات
5937,أمثولة ,أمثولة ,اسم, أماثيل, أماثيل
178,أمد ,أمد ,اسم, آماد, آماد
5954,أمدوحة ,أمدوحة ,اسم, أماديح, أماديح
179,أمر ,أمر ,اسم, أمور, أمور
180,أمر ,أمر ,اسم, أوامر, أوامر
5645,أمر ,أمر ,اسم, مكافيف, مكافيف
5646,أمر ,أمر ,اسم, أكفاء, أكفاء
6270,أمر ,أمر ,اسم, ندام, ندام
6271,أمر ,أمر ,اسم, نوادم, نوادم
6272,أمر ,أمر ,اسم, ندامى, ندامى
181,أمرة ,أمرة ,اسم, أمر, أمر
5993,أمروعة ,أمروعة ,اسم, أماريع, أماريع
6003,أمزر ,أمزر ,اسم, أمازر, أمازر
6009,أمسح ,أمسح ,اسم, أماسح, أماسح
6010,أمسح ,أمسح ,اسم, مساحي, مساحي
6011,أمسوح ,أمسوح ,اسم, أماسيح, أماسيح
6025,أمسية ,أمسية ,اسم, أماسي, أماسي
6033,أمشق ,أمشق ,اسم, مشق, مشق
188,أمل ,أمل ,اسم, آمال, آمال
6078,أملج ,أملج ,اسم, ملج, ملج
6079,أملوج ,أملوج ,اسم, أماليج, أماليج
6086,أملود ,أملود ,اسم, أماليد, أماليد
6103,أملولة ,أملولة ,اسم, أماليل, أماليل
6111,أمنية ,أمنية ,اسم, أماني, أماني
193,أمون ,أمون ,اسم, أمن, أمن
182,أمير ,أمير ,اسم, أمراء, أمراء
194,أمين ,أمين ,اسم, أمناء, أمناء
208,أناة ,أناة ,اسم, أنوات, أنوات
6157,أنبار ,أنبار ,اسم, أنابير, أنابير
6147,أنبوب ,أنبوب ,اسم, أنابيب, أنابيب
6161,أنبوش ,أنبوش ,اسم, أنابيش, أنابيش
196,أنثى ,أنثى ,اسم, إناث, إناث
6796,أنثى ,أنثى ,اسم, هوذ, هوذ
6344,أنشودة ,أنشودة ,اسم, أناشيد, أناشيد
6351,أنشوطة ,أنشوطة ,اسم, أناشيط, أناشيط
6361,أنصوبة ,أنصوبة ,اسم, أناصيب, أناصيب
6390,أنصولة ,أنصولة ,اسم, أناصيل, أناصيل
6417,أنط ,أنط ,اسم, نط, نط
6440,أنظومة ,أنظومة ,اسم, أناظيم, أناظيم
204,أنف ,أنف ,اسم, أنوف, أنوف
6488,أنفوضة ,أنفوضة ,اسم, أنافيض, أنافيض
6563,أنكب ,أنكب ,اسم, نكب, نكب
6581,أنمر ,أنمر ,اسم, نمر, نمر
6586,أنمس ,أنمس ,اسم, نمس, نمس
6590,أنمص ,أنمص ,اسم, نمص, نمص
6592,أنملة ,أنملة ,اسم, أنامل, أنامل
203,أنوس ,أنوس ,اسم, أنس, أنس
205,أنوف ,أنوف ,اسم, أنف, أنف
6659,أنوك ,أنوك ,اسم, نوكي, نوكي
6660,أنوك ,أنوك ,اسم, نوك, نوك
6668,أنيب ,أنيب ,اسم, نيب, نيب
210,أهبة ,أهبة ,اسم, أهب, أهب
6681,أهبل ,أهبل ,اسم, هبل, هبل
6701,أهجوة ,أهجوة ,اسم, أهاجي, أهاجي
6702,أهجية ,أهجية ,اسم, أهاجي, أهاجي
6703,أهدب ,أهدب ,اسم, هدب, هدب
6754,أهضوبة ,أهضوبة ,اسم, أهاضيب, أهاضيب
211,أهل ,أهل ,اسم, أهال, أهال
6788,أهنع ,أهنع ,اسم, هنع, هنع
6813,أهيم ,أهيم ,اسم, هيم, هيم
212,أوار ,أوار ,اسم, أور, أور
217,أوان ,أوان ,اسم, آونة, آونة
6895,أورق ,أورق ,اسم, ورق, ورق
6918,أوسط ,أوسط ,اسم, أواسط, أواسط
6919,أوسط ,أوسط ,اسم, وسط, وسط
6997,أوعس ,أوعس ,اسم, وعس, وعس
214,أوقة ,أوقة ,اسم, أوق, أوق
215,أوقية ,أوقية ,اسم, أواق, أواق
6817,أول ,أول ,اسم, الأوائل, الأوائل
6818,أولى ,أولى ,اسم, الأول, الأول
7083,أولى ,أولى ,اسم, الأولون, الأولون
7084,أولى ,أولى ,اسم, الولييات, الولييات
7105,أيبس ,أيبس ,اسم, أيابس, أيابس
7115,أيسر ,أيسر ,اسم, يسر, يسر
130,أيطل ,أيطل ,اسم, أياطل, أياطل
220,أيكة ,أيكة ,اسم, أيك, أيك
221,أيل ,أيل ,اسم, أيايل, أيايل
222,أيم ,أيم ,اسم, أيوم, أيوم
7133,أيمن ,أيمن ,اسم, أيامن, أيامن
8,إباض ,إباض ,اسم, أبض, أبض
11,إباط ,إباط ,اسم, أبط, أبط
295,إبريج ,إبريج ,اسم, أباريج, أباريج
12,إبط ,إبط ,اسم, آباط, آباط
13,إبل ,إبل ,اسم, آبال, آبال
430,إبهام ,إبهام ,اسم, أباهيم, أباهيم
21,إتاوة ,إتاوة ,اسم, أتاوى, أتاوى
23,إثار ,إثار ,اسم, أثر, أثر
29,إثم ,إثم ,اسم, آثام, آثام
38,إجانة ,إجانة ,اسم, أجاجين, أجاجين
2805,إجانة ,إجانة ,اسم, زلف, زلف
796,إجريا ,إجريا ,اسم, أجاري, أجاري
34,إجل ,إجل ,اسم, آجال, آجال
1155,إحريض ,إحريض ,اسم, أحاريض, أحاريض
1351,إحليل ,إحليل ,اسم, أحاليل, أحاليل
41,إحنة ,إحنة ,اسم, إحن, إحن
42,إخاذة ,إخاذة ,اسم, إخاذ, إخاذ
44,إخذة ,إخذة ,اسم, إخاذ, إخاذ
56,إد ,إد ,اسم, إداد, إداد
60,إدام ,إدام ,اسم, أدم, أدم
63,إداوة ,إداوة ,اسم, أداوى, أداوى
57,إدة ,إدة ,اسم, إدد, إدد
2187,إذاعة ,إذاعة ,اسم, مذاييع, مذاييع
77,إراض ,إراض ,اسم, أرض, أرض
83,إران ,إران ,اسم, أرن, أرن
68,إرب ,إرب ,اسم, آراب, آراب
72,إرث ,إرث ,اسم, إراث, إراث
2315,إرجاف ,إرجاف ,اسم, أراجيف, أراجيف
2400,إرزبة ,إرزبة ,اسم, أرازب, أرازب
82,إرم ,إرم ,اسم, آرام, آرام
75,إريس ,إريس ,اسم, أراريس, أراريس
91,إزار ,إزار ,اسم, أزر, أزر
2832,إزميل ,إزميل ,اسم, أزاميل, أزاميل
2836,إزميم ,إزميم ,اسم, أزاميم, أزاميم
102,إسار ,إسار ,اسم, أسر, أسر
2943,إست ,إست ,اسم, أستاه, أستاه
2937,إستار ,إستار ,اسم, أساتير, أساتير
113,إسكاف ,إسكاف ,اسم, أشاف, أشاف
3166,إسكاف ,إسكاف ,اسم, أساكفة, أساكفة
3367,إسوار ,إسوار ,اسم, أسورة, أسورة
3488,إشرارة ,إشرارة ,اسم, أشارير, أشارير
119,إصار ,إصار ,اسم, أصر, أصر
3708,إصبع ,إصبع ,اسم, أصابع, أصابع
116,إصدة ,إصدة ,اسم, إصد, إصد
3804,إصليت ,إصليت ,اسم, أصاليت, أصاليت
124,إض ,إض ,اسم, إضاض, إضاض
3925,إضبارة ,إضبارة ,اسم, أضابير, أضابير
3957,إضريج ,إضريج ,اسم, أضاريج, أضاريج
4012,إضمامة ,إضمامة ,اسم, أضاميم, أضاميم
127,إطار ,إطار ,اسم, أطر, أطر
4194,إطنابة ,إطنابة ,اسم, أطانيب, أطانيب
4451,إعصار ,إعصار ,اسم, أعاصير, أعاصير
4774,إغريض ,إغريض ,اسم, أغاريض, أغاريض
4829,إغليق ,إغليق ,اسم, أغاليق, أغاليق
4965,إفرير ,إفرير ,اسم, أفاريز, أفاريز
5413,إقليد ,إقليد ,اسم, أقاليد, أقاليد
5414,إقليد ,إقليد ,اسم, أقلاد, أقلاد
141,إكاد ,إكاد ,اسم, أكائد, أكائد
143,إكاف ,إكاف ,اسم, أكف, أكف
5665,إكليل ,إكليل ,اسم, أكاليل, أكاليل
167,إلة ,إلة ,اسم, إلل, إلل
155,إلف ,إلف ,اسم, آلاف, آلاف
160,إلقة ,إلقة ,اسم, إلق, إلق
169,إله ,إله ,اسم, آلهة, آلهة
170,إلى ,إلى ,اسم, آلاء, آلاء
172,إلى ,إلى ,اسم, آلاء, آلاء
190,إمام ,إمام ,اسم, أئمة, أئمة
6088,إمليسة ,إمليسة ,اسم, أماليس, أماليس
207,إناء ,إناء ,اسم, آنية, آنية
198,إنجيل ,إنجيل ,اسم, أناجيل, أناجيل
200,إنس ,إنس ,اسم, آناس, آناس
201,إنسان ,إنسان ,اسم, أناسي, أناسي
5096,إنسان ,إنسان ,اسم, أفمام, أفمام
202,إنسي ,إنسي ,اسم, أناسي, أناسي
6439,إنظام ,إنظام ,اسم, أناظيم, أناظيم
6472,إنفحة ,إنفحة ,اسم, أنافح, أنافح
209,إهاب ,إهاب ,اسم, أهب, أهب
218,إوان ,إوان ,اسم, أون, أون
417,ابن ,ابن ,اسم, أبناء, أبناء
418,ابن ,ابن ,اسم, بنات, بنات
3293,اسم ,اسم ,اسم, أسماء, أسماء
225,بأدلة ,بأدلة ,اسم, بآدل, بآدل
228,بأس ,بأس ,اسم, أبؤس, أبؤس
226,بؤرة ,بؤرة ,اسم, بؤر, بؤر
227,بئر ,بئر ,اسم, أبؤر, أبؤر
438,باءة ,باءة ,اسم, باء, باء
440,بائجة ,بائجة ,اسم, بوائج, بوائج
448,بائع ,بائع ,اسم, بوع, بوع
452,بائقة ,بائقة ,اسم, بوائق, بوائق
455,بائكة ,بائكة ,اسم, بوائك, بوائك
439,باب ,باب ,اسم, أبواب, أبواب
232,باتر ,باتر ,اسم, بواتر, بواتر
234,باتك ,باتك ,اسم, بواتك, بواتك
441,باج ,باج ,اسم, أبواج, أبواج
442,باحة ,باحة ,اسم, بوح, بوح
253,باحرة ,باحرة ,اسم, بواحر, بواحر
260,باخرة ,باخرة ,اسم, بواخر, بواخر
273,بادرة ,بادرة ,اسم, بوادر, بوادر
282,بادية ,بادية ,اسم, بواد, بواد
443,باز ,باز ,اسم, أبواز, أبواز
346,بازل ,بازل ,اسم, بوازل, بوازل
348,بازمة ,بازمة ,اسم, بوازم, بوازم
339,بازور ,بازور ,اسم, بوازير, بوازير
351,بازي ,بازي ,اسم, و, و
361,باسقة ,باسقة ,اسم, بواسق, بواسق
363,باسنة ,باسنة ,اسم, بواسن, بواسن
354,باسور ,باسور ,اسم, بواسير, بواسير
369,باشق ,باشق ,اسم, بواشق, بواشق
370,باشق ,باشق ,اسم, بواشق, بواشق
391,باطن ,باطن ,اسم, أبطنة, أبطنة
449,باع ,باع ,اسم, أبواع, أبواع
402,باغي ,باغي ,اسم, بغاة, بغاة
404,باقعة ,باقعة ,اسم, بواقع, بواقع
406,باقول ,باقول ,اسم, بواقيل, بواقيل
412,بالوعة ,بالوعة ,اسم, بواليع, بواليع
419,بانية ,بانية ,اسم, بوان, بوان
427,باهظ ,باهظ ,اسم, بواهظ, بواهظ
